gvb_id,gvb_name,year,gisd_score
064110000,"Darmstadt, Wissenschaftsstadt",1998,0.34957
064110000,"Darmstadt, Wissenschaftsstadt",1999,0.31741
064110000,"Darmstadt, Wissenschaftsstadt",2000,0.31404
064110000,"Darmstadt, Wissenschaftsstadt",2001,0.34341
064110000,"Darmstadt, Wissenschaftsstadt",2002,0.3644
064110000,"Darmstadt, Wissenschaftsstadt",2003,0.34335
064110000,"Darmstadt, Wissenschaftsstadt",2004,0.4035
064110000,"Darmstadt, Wissenschaftsstadt",2005,0.36067
064110000,"Darmstadt, Wissenschaftsstadt",2006,0.35548
064110000,"Darmstadt, Wissenschaftsstadt",2007,0.33189
064110000,"Darmstadt, Wissenschaftsstadt",2008,0.33911
064110000,"Darmstadt, Wissenschaftsstadt",2009,0.30699
064110000,"Darmstadt, Wissenschaftsstadt",2010,0.30252
064110000,"Darmstadt, Wissenschaftsstadt",2011,0.31142
064110000,"Darmstadt, Wissenschaftsstadt",2012,0.27789
064110000,"Darmstadt, Wissenschaftsstadt",2013,0.26852
064110000,"Darmstadt, Wissenschaftsstadt",2014,0.28003
064110000,"Darmstadt, Wissenschaftsstadt",2015,0.30062
064110000,"Darmstadt, Wissenschaftsstadt",2016,0.2897
064110000,"Darmstadt, Wissenschaftsstadt",2017,0.21526
064110000,"Darmstadt, Wissenschaftsstadt",2018,0.23058
064110000,"Darmstadt, Wissenschaftsstadt",2019,0.26129
064110000,"Darmstadt, Wissenschaftsstadt",2020,0.2444
064110000,"Darmstadt, Wissenschaftsstadt",2021,0.22296
064120000,"Frankfurt am Main, Stadt",1998,0.41507
064120000,"Frankfurt am Main, Stadt",1999,0.40274
064120000,"Frankfurt am Main, Stadt",2000,0.38731
064120000,"Frankfurt am Main, Stadt",2001,0.41533
064120000,"Frankfurt am Main, Stadt",2002,0.43527
064120000,"Frankfurt am Main, Stadt",2003,0.4285
064120000,"Frankfurt am Main, Stadt",2004,0.44331
064120000,"Frankfurt am Main, Stadt",2005,0.4284
064120000,"Frankfurt am Main, Stadt",2006,0.44988
064120000,"Frankfurt am Main, Stadt",2007,0.43795
064120000,"Frankfurt am Main, Stadt",2008,0.39731
064120000,"Frankfurt am Main, Stadt",2009,0.38271
064120000,"Frankfurt am Main, Stadt",2010,0.38159
064120000,"Frankfurt am Main, Stadt",2011,0.36519
064120000,"Frankfurt am Main, Stadt",2012,0.32475
064120000,"Frankfurt am Main, Stadt",2013,0.33469
064120000,"Frankfurt am Main, Stadt",2014,0.32154
064120000,"Frankfurt am Main, Stadt",2015,0.31092
064120000,"Frankfurt am Main, Stadt",2016,0.32097
064120000,"Frankfurt am Main, Stadt",2017,0.27765
064120000,"Frankfurt am Main, Stadt",2018,0.26069
064120000,"Frankfurt am Main, Stadt",2019,0.27915
064120000,"Frankfurt am Main, Stadt",2020,0.24996
064120000,"Frankfurt am Main, Stadt",2021,0.26741
064130000,"Offenbach am Main, Stadt",1998,1
064130000,"Offenbach am Main, Stadt",1999,1
064130000,"Offenbach am Main, Stadt",2000,1
064130000,"Offenbach am Main, Stadt",2001,1
064130000,"Offenbach am Main, Stadt",2002,1
064130000,"Offenbach am Main, Stadt",2003,1
064130000,"Offenbach am Main, Stadt",2004,1
064130000,"Offenbach am Main, Stadt",2005,1
064130000,"Offenbach am Main, Stadt",2006,1
064130000,"Offenbach am Main, Stadt",2007,1
064130000,"Offenbach am Main, Stadt",2008,1
064130000,"Offenbach am Main, Stadt",2009,1
064130000,"Offenbach am Main, Stadt",2010,1
064130000,"Offenbach am Main, Stadt",2011,1
064130000,"Offenbach am Main, Stadt",2012,1
064130000,"Offenbach am Main, Stadt",2013,1
064130000,"Offenbach am Main, Stadt",2014,1
064130000,"Offenbach am Main, Stadt",2015,1
064130000,"Offenbach am Main, Stadt",2016,1
064130000,"Offenbach am Main, Stadt",2017,1
064130000,"Offenbach am Main, Stadt",2018,1
064130000,"Offenbach am Main, Stadt",2019,1
064130000,"Offenbach am Main, Stadt",2020,1
064130000,"Offenbach am Main, Stadt",2021,1
064140000,"Wiesbaden, Landeshauptstadt",1998,0.59213
064140000,"Wiesbaden, Landeshauptstadt",1999,0.54786
064140000,"Wiesbaden, Landeshauptstadt",2000,0.55545
064140000,"Wiesbaden, Landeshauptstadt",2001,0.58997
064140000,"Wiesbaden, Landeshauptstadt",2002,0.59722
064140000,"Wiesbaden, Landeshauptstadt",2003,0.58528
064140000,"Wiesbaden, Landeshauptstadt",2004,0.56918
064140000,"Wiesbaden, Landeshauptstadt",2005,0.57026
064140000,"Wiesbaden, Landeshauptstadt",2006,0.5434
064140000,"Wiesbaden, Landeshauptstadt",2007,0.52489
064140000,"Wiesbaden, Landeshauptstadt",2008,0.57452
064140000,"Wiesbaden, Landeshauptstadt",2009,0.56456
064140000,"Wiesbaden, Landeshauptstadt",2010,0.56587
064140000,"Wiesbaden, Landeshauptstadt",2011,0.57694
064140000,"Wiesbaden, Landeshauptstadt",2012,0.53934
064140000,"Wiesbaden, Landeshauptstadt",2013,0.54933
064140000,"Wiesbaden, Landeshauptstadt",2014,0.54206
064140000,"Wiesbaden, Landeshauptstadt",2015,0.50332
064140000,"Wiesbaden, Landeshauptstadt",2016,0.55948
064140000,"Wiesbaden, Landeshauptstadt",2017,0.54969
064140000,"Wiesbaden, Landeshauptstadt",2018,0.5932
064140000,"Wiesbaden, Landeshauptstadt",2019,0.58369
064140000,"Wiesbaden, Landeshauptstadt",2020,0.55662
064140000,"Wiesbaden, Landeshauptstadt",2021,0.55769
064310001,Abtsteinach,1998,0.4513
064310001,Abtsteinach,1999,0.44104
064310001,Abtsteinach,2000,0.44555
064310001,Abtsteinach,2001,0.43048
064310001,Abtsteinach,2002,0.42376
064310001,Abtsteinach,2003,0.39999
064310001,Abtsteinach,2004,0.42581
064310001,Abtsteinach,2005,0.39522
064310001,Abtsteinach,2006,0.40679
064310001,Abtsteinach,2007,0.40263
064310001,Abtsteinach,2008,0.44961
064310001,Abtsteinach,2009,0.43014
064310001,Abtsteinach,2010,0.42264
064310001,Abtsteinach,2011,0.45134
064310001,Abtsteinach,2012,0.45667
064310001,Abtsteinach,2013,0.43453
064310001,Abtsteinach,2014,0.43951
064310001,Abtsteinach,2015,0.46853
064310001,Abtsteinach,2016,0.45729
064310001,Abtsteinach,2017,0.44443
064310001,Abtsteinach,2018,0.44911
064310001,Abtsteinach,2019,0.46109
064310001,Abtsteinach,2020,0.45645
064310001,Abtsteinach,2021,0.45458
064310002,"Bensheim, Stadt",1998,0.45475
064310002,"Bensheim, Stadt",1999,0.44616
064310002,"Bensheim, Stadt",2000,0.44935
064310002,"Bensheim, Stadt",2001,0.45526
064310002,"Bensheim, Stadt",2002,0.45407
064310002,"Bensheim, Stadt",2003,0.42758
064310002,"Bensheim, Stadt",2004,0.4589
064310002,"Bensheim, Stadt",2005,0.42924
064310002,"Bensheim, Stadt",2006,0.43432
064310002,"Bensheim, Stadt",2007,0.4307
064310002,"Bensheim, Stadt",2008,0.4735
064310002,"Bensheim, Stadt",2009,0.45505
064310002,"Bensheim, Stadt",2010,0.45359
064310002,"Bensheim, Stadt",2011,0.47058
064310002,"Bensheim, Stadt",2012,0.46578
064310002,"Bensheim, Stadt",2013,0.44724
064310002,"Bensheim, Stadt",2014,0.45635
064310002,"Bensheim, Stadt",2015,0.4837
064310002,"Bensheim, Stadt",2016,0.47227
064310002,"Bensheim, Stadt",2017,0.45088
064310002,"Bensheim, Stadt",2018,0.45589
064310002,"Bensheim, Stadt",2019,0.47498
064310002,"Bensheim, Stadt",2020,0.46328
064310002,"Bensheim, Stadt",2021,0.45691
064310003,Biblis,1998,0.45031
064310003,Biblis,1999,0.44027
064310003,Biblis,2000,0.44644
064310003,Biblis,2001,0.43383
064310003,Biblis,2002,0.42466
064310003,Biblis,2003,0.40156
064310003,Biblis,2004,0.43233
064310003,Biblis,2005,0.40461
064310003,Biblis,2006,0.4188
064310003,Biblis,2007,0.40979
064310003,Biblis,2008,0.45113
064310003,Biblis,2009,0.43094
064310003,Biblis,2010,0.42694
064310003,Biblis,2011,0.45108
064310003,Biblis,2012,0.45099
064310003,Biblis,2013,0.43619
064310003,Biblis,2014,0.44985
064310003,Biblis,2015,0.47901
064310003,Biblis,2016,0.47166
064310003,Biblis,2017,0.45231
064310003,Biblis,2018,0.45661
064310003,Biblis,2019,0.47142
064310003,Biblis,2020,0.45329
064310003,Biblis,2021,0.457
064310004,Birkenau,1998,0.44988
064310004,Birkenau,1999,0.43987
064310004,Birkenau,2000,0.44779
064310004,Birkenau,2001,0.44786
064310004,Birkenau,2002,0.44495
064310004,Birkenau,2003,0.42012
064310004,Birkenau,2004,0.44991
064310004,Birkenau,2005,0.41963
064310004,Birkenau,2006,0.42498
064310004,Birkenau,2007,0.41734
064310004,Birkenau,2008,0.46006
064310004,Birkenau,2009,0.44809
064310004,Birkenau,2010,0.44909
064310004,Birkenau,2011,0.46899
064310004,Birkenau,2012,0.46373
064310004,Birkenau,2013,0.44605
064310004,Birkenau,2014,0.45385
064310004,Birkenau,2015,0.48314
064310004,Birkenau,2016,0.47742
064310004,Birkenau,2017,0.45183
064310004,Birkenau,2018,0.46079
064310004,Birkenau,2019,0.48148
064310004,Birkenau,2020,0.4683
064310004,Birkenau,2021,0.46832
064310005,"Bürstadt, Stadt",1998,0.44906
064310005,"Bürstadt, Stadt",1999,0.438
064310005,"Bürstadt, Stadt",2000,0.44708
064310005,"Bürstadt, Stadt",2001,0.43185
064310005,"Bürstadt, Stadt",2002,0.42933
064310005,"Bürstadt, Stadt",2003,0.40484
064310005,"Bürstadt, Stadt",2004,0.43485
064310005,"Bürstadt, Stadt",2005,0.40952
064310005,"Bürstadt, Stadt",2006,0.42634
064310005,"Bürstadt, Stadt",2007,0.41938
064310005,"Bürstadt, Stadt",2008,0.46381
064310005,"Bürstadt, Stadt",2009,0.44913
064310005,"Bürstadt, Stadt",2010,0.43907
064310005,"Bürstadt, Stadt",2011,0.4485
064310005,"Bürstadt, Stadt",2012,0.45362
064310005,"Bürstadt, Stadt",2013,0.43451
064310005,"Bürstadt, Stadt",2014,0.44367
064310005,"Bürstadt, Stadt",2015,0.46903
064310005,"Bürstadt, Stadt",2016,0.45651
064310005,"Bürstadt, Stadt",2017,0.43227
064310005,"Bürstadt, Stadt",2018,0.43127
064310005,"Bürstadt, Stadt",2019,0.45068
064310005,"Bürstadt, Stadt",2020,0.4395
064310005,"Bürstadt, Stadt",2021,0.43559
064310006,Einhausen,1998,0.44944
064310006,Einhausen,1999,0.44018
064310006,Einhausen,2000,0.44791
064310006,Einhausen,2001,0.43844
064310006,Einhausen,2002,0.43601
064310006,Einhausen,2003,0.40276
064310006,Einhausen,2004,0.43647
064310006,Einhausen,2005,0.40855
064310006,Einhausen,2006,0.42128
064310006,Einhausen,2007,0.41147
064310006,Einhausen,2008,0.45233
064310006,Einhausen,2009,0.43368
064310006,Einhausen,2010,0.43525
064310006,Einhausen,2011,0.45293
064310006,Einhausen,2012,0.4459
064310006,Einhausen,2013,0.43101
064310006,Einhausen,2014,0.4366
064310006,Einhausen,2015,0.45766
064310006,Einhausen,2016,0.45252
064310006,Einhausen,2017,0.42915
064310006,Einhausen,2018,0.43479
064310006,Einhausen,2019,0.45496
064310006,Einhausen,2020,0.44537
064310006,Einhausen,2021,0.44776
064310007,Fürth,1998,0.46167
064310007,Fürth,1999,0.45402
064310007,Fürth,2000,0.46195
064310007,Fürth,2001,0.46403
064310007,Fürth,2002,0.46681
064310007,Fürth,2003,0.4448
064310007,Fürth,2004,0.47317
064310007,Fürth,2005,0.44069
064310007,Fürth,2006,0.44975
064310007,Fürth,2007,0.43977
064310007,Fürth,2008,0.48151
064310007,Fürth,2009,0.4677
064310007,Fürth,2010,0.46122
064310007,Fürth,2011,0.48083
064310007,Fürth,2012,0.47817
064310007,Fürth,2013,0.45714
064310007,Fürth,2014,0.46655
064310007,Fürth,2015,0.48979
064310007,Fürth,2016,0.47987
064310007,Fürth,2017,0.45906
064310007,Fürth,2018,0.46336
064310007,Fürth,2019,0.48466
064310007,Fürth,2020,0.47051
064310007,Fürth,2021,0.46805
064310008,Gorxheimertal,1998,0.44748
064310008,Gorxheimertal,1999,0.43608
064310008,Gorxheimertal,2000,0.44558
064310008,Gorxheimertal,2001,0.42653
064310008,Gorxheimertal,2002,0.42705
064310008,Gorxheimertal,2003,0.40323
064310008,Gorxheimertal,2004,0.43004
064310008,Gorxheimertal,2005,0.39774
064310008,Gorxheimertal,2006,0.40907
064310008,Gorxheimertal,2007,0.40095
064310008,Gorxheimertal,2008,0.43975
064310008,Gorxheimertal,2009,0.43043
064310008,Gorxheimertal,2010,0.43224
064310008,Gorxheimertal,2011,0.46084
064310008,Gorxheimertal,2012,0.46507
064310008,Gorxheimertal,2013,0.45069
064310008,Gorxheimertal,2014,0.45738
064310008,Gorxheimertal,2015,0.49133
064310008,Gorxheimertal,2016,0.46768
064310008,Gorxheimertal,2017,0.44871
064310008,Gorxheimertal,2018,0.46022
064310008,Gorxheimertal,2019,0.48685
064310008,Gorxheimertal,2020,0.46975
064310008,Gorxheimertal,2021,0.47455
064310009,Grasellenbach,1998,0.47745
064310009,Grasellenbach,1999,0.47174
064310009,Grasellenbach,2000,0.47868
064310009,Grasellenbach,2001,0.48362
064310009,Grasellenbach,2002,0.48022
064310009,Grasellenbach,2003,0.45618
064310009,Grasellenbach,2004,0.49126
064310009,Grasellenbach,2005,0.45998
064310009,Grasellenbach,2006,0.45889
064310009,Grasellenbach,2007,0.45857
064310009,Grasellenbach,2008,0.4997
064310009,Grasellenbach,2009,0.48678
064310009,Grasellenbach,2010,0.48054
064310009,Grasellenbach,2011,0.51109
064310009,Grasellenbach,2012,0.52081
064310009,Grasellenbach,2013,0.49428
064310009,Grasellenbach,2014,0.50065
064310009,Grasellenbach,2015,0.53419
064310009,Grasellenbach,2016,0.51342
064310009,Grasellenbach,2017,0.5029
064310009,Grasellenbach,2018,0.50219
064310009,Grasellenbach,2019,0.5205
064310009,Grasellenbach,2020,0.51022
064310009,Grasellenbach,2021,0.49977
064310010,Groß-Rohrheim,1998,0.4545
064310010,Groß-Rohrheim,1999,0.44511
064310010,Groß-Rohrheim,2000,0.45139
064310010,Groß-Rohrheim,2001,0.44534
064310010,Groß-Rohrheim,2002,0.43781
064310010,Groß-Rohrheim,2003,0.41911
064310010,Groß-Rohrheim,2004,0.44279
064310010,Groß-Rohrheim,2005,0.41273
064310010,Groß-Rohrheim,2006,0.42297
064310010,Groß-Rohrheim,2007,0.41297
064310010,Groß-Rohrheim,2008,0.46024
064310010,Groß-Rohrheim,2009,0.44627
064310010,Groß-Rohrheim,2010,0.4307
064310010,Groß-Rohrheim,2011,0.45833
064310010,Groß-Rohrheim,2012,0.45759
064310010,Groß-Rohrheim,2013,0.44818
064310010,Groß-Rohrheim,2014,0.45641
064310010,Groß-Rohrheim,2015,0.48308
064310010,Groß-Rohrheim,2016,0.46999
064310010,Groß-Rohrheim,2017,0.44048
064310010,Groß-Rohrheim,2018,0.45134
064310010,Groß-Rohrheim,2019,0.46693
064310010,Groß-Rohrheim,2020,0.45756
064310010,Groß-Rohrheim,2021,0.4532
064310011,"Heppenheim (Bergstraße), Kreisstadt",1998,0.45426
064310011,"Heppenheim (Bergstraße), Kreisstadt",1999,0.44481
064310011,"Heppenheim (Bergstraße), Kreisstadt",2000,0.44841
064310011,"Heppenheim (Bergstraße), Kreisstadt",2001,0.43825
064310011,"Heppenheim (Bergstraße), Kreisstadt",2002,0.43512
064310011,"Heppenheim (Bergstraße), Kreisstadt",2003,0.41401
064310011,"Heppenheim (Bergstraße), Kreisstadt",2004,0.44554
064310011,"Heppenheim (Bergstraße), Kreisstadt",2005,0.41782
064310011,"Heppenheim (Bergstraße), Kreisstadt",2006,0.42985
064310011,"Heppenheim (Bergstraße), Kreisstadt",2007,0.42377
064310011,"Heppenheim (Bergstraße), Kreisstadt",2008,0.46483
064310011,"Heppenheim (Bergstraße), Kreisstadt",2009,0.45119
064310011,"Heppenheim (Bergstraße), Kreisstadt",2010,0.44986
064310011,"Heppenheim (Bergstraße), Kreisstadt",2011,0.46342
064310011,"Heppenheim (Bergstraße), Kreisstadt",2012,0.46408
064310011,"Heppenheim (Bergstraße), Kreisstadt",2013,0.44666
064310011,"Heppenheim (Bergstraße), Kreisstadt",2014,0.45203
064310011,"Heppenheim (Bergstraße), Kreisstadt",2015,0.47934
064310011,"Heppenheim (Bergstraße), Kreisstadt",2016,0.47609
064310011,"Heppenheim (Bergstraße), Kreisstadt",2017,0.45493
064310011,"Heppenheim (Bergstraße), Kreisstadt",2018,0.46249
064310011,"Heppenheim (Bergstraße), Kreisstadt",2019,0.47728
064310011,"Heppenheim (Bergstraße), Kreisstadt",2020,0.46897
064310011,"Heppenheim (Bergstraße), Kreisstadt",2021,0.46391
064310012,"Hirschhorn (Neckar), Stadt",1998,0.4559
064310012,"Hirschhorn (Neckar), Stadt",1999,0.44605
064310012,"Hirschhorn (Neckar), Stadt",2000,0.45497
064310012,"Hirschhorn (Neckar), Stadt",2001,0.45063
064310012,"Hirschhorn (Neckar), Stadt",2002,0.44794
064310012,"Hirschhorn (Neckar), Stadt",2003,0.44007
064310012,"Hirschhorn (Neckar), Stadt",2004,0.47065
064310012,"Hirschhorn (Neckar), Stadt",2005,0.43941
064310012,"Hirschhorn (Neckar), Stadt",2006,0.44454
064310012,"Hirschhorn (Neckar), Stadt",2007,0.44367
064310012,"Hirschhorn (Neckar), Stadt",2008,0.48811
064310012,"Hirschhorn (Neckar), Stadt",2009,0.47078
064310012,"Hirschhorn (Neckar), Stadt",2010,0.47247
064310012,"Hirschhorn (Neckar), Stadt",2011,0.49289
064310012,"Hirschhorn (Neckar), Stadt",2012,0.49693
064310012,"Hirschhorn (Neckar), Stadt",2013,0.46448
064310012,"Hirschhorn (Neckar), Stadt",2014,0.48164
064310012,"Hirschhorn (Neckar), Stadt",2015,0.51181
064310012,"Hirschhorn (Neckar), Stadt",2016,0.51085
064310012,"Hirschhorn (Neckar), Stadt",2017,0.4862
064310012,"Hirschhorn (Neckar), Stadt",2018,0.49383
064310012,"Hirschhorn (Neckar), Stadt",2019,0.51982
064310012,"Hirschhorn (Neckar), Stadt",2020,0.49986
064310012,"Hirschhorn (Neckar), Stadt",2021,0.49198
064310013,"Lampertheim, Stadt",1998,0.45053
064310013,"Lampertheim, Stadt",1999,0.44063
064310013,"Lampertheim, Stadt",2000,0.44764
064310013,"Lampertheim, Stadt",2001,0.43593
064310013,"Lampertheim, Stadt",2002,0.4329
064310013,"Lampertheim, Stadt",2003,0.40504
064310013,"Lampertheim, Stadt",2004,0.43519
064310013,"Lampertheim, Stadt",2005,0.40895
064310013,"Lampertheim, Stadt",2006,0.42244
064310013,"Lampertheim, Stadt",2007,0.41576
064310013,"Lampertheim, Stadt",2008,0.45842
064310013,"Lampertheim, Stadt",2009,0.44242
064310013,"Lampertheim, Stadt",2010,0.4412
064310013,"Lampertheim, Stadt",2011,0.45568
064310013,"Lampertheim, Stadt",2012,0.4586
064310013,"Lampertheim, Stadt",2013,0.43957
064310013,"Lampertheim, Stadt",2014,0.45156
064310013,"Lampertheim, Stadt",2015,0.47804
064310013,"Lampertheim, Stadt",2016,0.46824
064310013,"Lampertheim, Stadt",2017,0.44536
064310013,"Lampertheim, Stadt",2018,0.44845
064310013,"Lampertheim, Stadt",2019,0.46538
064310013,"Lampertheim, Stadt",2020,0.45986
064310013,"Lampertheim, Stadt",2021,0.45583
064310014,Lautertal (Odenwald),1998,0.45381
064310014,Lautertal (Odenwald),1999,0.44489
064310014,Lautertal (Odenwald),2000,0.45232
064310014,Lautertal (Odenwald),2001,0.43882
064310014,Lautertal (Odenwald),2002,0.43087
064310014,Lautertal (Odenwald),2003,0.41811
064310014,Lautertal (Odenwald),2004,0.44685
064310014,Lautertal (Odenwald),2005,0.41492
064310014,Lautertal (Odenwald),2006,0.42383
064310014,Lautertal (Odenwald),2007,0.4162
064310014,Lautertal (Odenwald),2008,0.46142
064310014,Lautertal (Odenwald),2009,0.44287
064310014,Lautertal (Odenwald),2010,0.44168
064310014,Lautertal (Odenwald),2011,0.46332
064310014,Lautertal (Odenwald),2012,0.46866
064310014,Lautertal (Odenwald),2013,0.45313
064310014,Lautertal (Odenwald),2014,0.46623
064310014,Lautertal (Odenwald),2015,0.48984
064310014,Lautertal (Odenwald),2016,0.47755
064310014,Lautertal (Odenwald),2017,0.45767
064310014,Lautertal (Odenwald),2018,0.46266
064310014,Lautertal (Odenwald),2019,0.47062
064310014,Lautertal (Odenwald),2020,0.46612
064310014,Lautertal (Odenwald),2021,0.46724
064310015,"Lindenfels, Stadt",1998,0.46423
064310015,"Lindenfels, Stadt",1999,0.4559
064310015,"Lindenfels, Stadt",2000,0.46384
064310015,"Lindenfels, Stadt",2001,0.4619
064310015,"Lindenfels, Stadt",2002,0.46489
064310015,"Lindenfels, Stadt",2003,0.44975
064310015,"Lindenfels, Stadt",2004,0.47228
064310015,"Lindenfels, Stadt",2005,0.44111
064310015,"Lindenfels, Stadt",2006,0.44342
064310015,"Lindenfels, Stadt",2007,0.43749
064310015,"Lindenfels, Stadt",2008,0.48323
064310015,"Lindenfels, Stadt",2009,0.46322
064310015,"Lindenfels, Stadt",2010,0.45416
064310015,"Lindenfels, Stadt",2011,0.47694
064310015,"Lindenfels, Stadt",2012,0.48012
064310015,"Lindenfels, Stadt",2013,0.45803
064310015,"Lindenfels, Stadt",2014,0.46448
064310015,"Lindenfels, Stadt",2015,0.49343
064310015,"Lindenfels, Stadt",2016,0.48652
064310015,"Lindenfels, Stadt",2017,0.472
064310015,"Lindenfels, Stadt",2018,0.47492
064310015,"Lindenfels, Stadt",2019,0.50098
064310015,"Lindenfels, Stadt",2020,0.48615
064310015,"Lindenfels, Stadt",2021,0.4871
064310016,"Lorsch, Karolingerstadt",1998,0.45094
064310016,"Lorsch, Karolingerstadt",1999,0.44205
064310016,"Lorsch, Karolingerstadt",2000,0.45107
064310016,"Lorsch, Karolingerstadt",2001,0.44997
064310016,"Lorsch, Karolingerstadt",2002,0.44782
064310016,"Lorsch, Karolingerstadt",2003,0.42297
064310016,"Lorsch, Karolingerstadt",2004,0.45181
064310016,"Lorsch, Karolingerstadt",2005,0.42289
064310016,"Lorsch, Karolingerstadt",2006,0.425
064310016,"Lorsch, Karolingerstadt",2007,0.42224
064310016,"Lorsch, Karolingerstadt",2008,0.46286
064310016,"Lorsch, Karolingerstadt",2009,0.44288
064310016,"Lorsch, Karolingerstadt",2010,0.44157
064310016,"Lorsch, Karolingerstadt",2011,0.45969
064310016,"Lorsch, Karolingerstadt",2012,0.45282
064310016,"Lorsch, Karolingerstadt",2013,0.44246
064310016,"Lorsch, Karolingerstadt",2014,0.45349
064310016,"Lorsch, Karolingerstadt",2015,0.47617
064310016,"Lorsch, Karolingerstadt",2016,0.46379
064310016,"Lorsch, Karolingerstadt",2017,0.44208
064310016,"Lorsch, Karolingerstadt",2018,0.44788
064310016,"Lorsch, Karolingerstadt",2019,0.4639
064310016,"Lorsch, Karolingerstadt",2020,0.45303
064310016,"Lorsch, Karolingerstadt",2021,0.45598
064310017,Mörlenbach,1998,0.46081
064310017,Mörlenbach,1999,0.45225
064310017,Mörlenbach,2000,0.45671
064310017,Mörlenbach,2001,0.45858
064310017,Mörlenbach,2002,0.45089
064310017,Mörlenbach,2003,0.42826
064310017,Mörlenbach,2004,0.45965
064310017,Mörlenbach,2005,0.43044
064310017,Mörlenbach,2006,0.43746
064310017,Mörlenbach,2007,0.43441
064310017,Mörlenbach,2008,0.47944
064310017,Mörlenbach,2009,0.45959
064310017,Mörlenbach,2010,0.45468
064310017,Mörlenbach,2011,0.46334
064310017,Mörlenbach,2012,0.46395
064310017,Mörlenbach,2013,0.44727
064310017,Mörlenbach,2014,0.45198
064310017,Mörlenbach,2015,0.48158
064310017,Mörlenbach,2016,0.46657
064310017,Mörlenbach,2017,0.44774
064310017,Mörlenbach,2018,0.44896
064310017,Mörlenbach,2019,0.45936
064310017,Mörlenbach,2020,0.4577
064310017,Mörlenbach,2021,0.45239
064310018,"Neckarsteinach, Stadt",1998,0.45318
064310018,"Neckarsteinach, Stadt",1999,0.44356
064310018,"Neckarsteinach, Stadt",2000,0.44946
064310018,"Neckarsteinach, Stadt",2001,0.44203
064310018,"Neckarsteinach, Stadt",2002,0.4388
064310018,"Neckarsteinach, Stadt",2003,0.42244
064310018,"Neckarsteinach, Stadt",2004,0.45539
064310018,"Neckarsteinach, Stadt",2005,0.431
064310018,"Neckarsteinach, Stadt",2006,0.43728
064310018,"Neckarsteinach, Stadt",2007,0.43337
064310018,"Neckarsteinach, Stadt",2008,0.47176
064310018,"Neckarsteinach, Stadt",2009,0.45623
064310018,"Neckarsteinach, Stadt",2010,0.45404
064310018,"Neckarsteinach, Stadt",2011,0.4851
064310018,"Neckarsteinach, Stadt",2012,0.48307
064310018,"Neckarsteinach, Stadt",2013,0.45501
064310018,"Neckarsteinach, Stadt",2014,0.46934
064310018,"Neckarsteinach, Stadt",2015,0.49863
064310018,"Neckarsteinach, Stadt",2016,0.48613
064310018,"Neckarsteinach, Stadt",2017,0.46645
064310018,"Neckarsteinach, Stadt",2018,0.47752
064310018,"Neckarsteinach, Stadt",2019,0.49205
064310018,"Neckarsteinach, Stadt",2020,0.48318
064310018,"Neckarsteinach, Stadt",2021,0.48654
064310019,Rimbach,1998,0.45549
064310019,Rimbach,1999,0.44711
064310019,Rimbach,2000,0.4566
064310019,Rimbach,2001,0.46638
064310019,Rimbach,2002,0.46737
064310019,Rimbach,2003,0.44432
064310019,Rimbach,2004,0.47
064310019,Rimbach,2005,0.44025
064310019,Rimbach,2006,0.44444
064310019,Rimbach,2007,0.44008
064310019,Rimbach,2008,0.48095
064310019,Rimbach,2009,0.46948
064310019,Rimbach,2010,0.46583
064310019,Rimbach,2011,0.48874
064310019,Rimbach,2012,0.48505
064310019,Rimbach,2013,0.45974
064310019,Rimbach,2014,0.46826
064310019,Rimbach,2015,0.49873
064310019,Rimbach,2016,0.48776
064310019,Rimbach,2017,0.46865
064310019,Rimbach,2018,0.47426
064310019,Rimbach,2019,0.49271
064310019,Rimbach,2020,0.48058
064310019,Rimbach,2021,0.46972
064310020,"Viernheim, Stadt",1998,0.45239
064310020,"Viernheim, Stadt",1999,0.44343
064310020,"Viernheim, Stadt",2000,0.4512
064310020,"Viernheim, Stadt",2001,0.443
064310020,"Viernheim, Stadt",2002,0.44208
064310020,"Viernheim, Stadt",2003,0.4181
064310020,"Viernheim, Stadt",2004,0.44945
064310020,"Viernheim, Stadt",2005,0.42034
064310020,"Viernheim, Stadt",2006,0.43345
064310020,"Viernheim, Stadt",2007,0.42487
064310020,"Viernheim, Stadt",2008,0.46844
064310020,"Viernheim, Stadt",2009,0.45359
064310020,"Viernheim, Stadt",2010,0.44815
064310020,"Viernheim, Stadt",2011,0.47104
064310020,"Viernheim, Stadt",2012,0.47169
064310020,"Viernheim, Stadt",2013,0.45443
064310020,"Viernheim, Stadt",2014,0.46065
064310020,"Viernheim, Stadt",2015,0.49346
064310020,"Viernheim, Stadt",2016,0.48154
064310020,"Viernheim, Stadt",2017,0.45783
064310020,"Viernheim, Stadt",2018,0.46439
064310020,"Viernheim, Stadt",2019,0.48401
064310020,"Viernheim, Stadt",2020,0.47435
064310020,"Viernheim, Stadt",2021,0.47241
064310021,Wald-Michelbach,1998,0.46943
064310021,Wald-Michelbach,1999,0.46205
064310021,Wald-Michelbach,2000,0.46948
064310021,Wald-Michelbach,2001,0.4693
064310021,Wald-Michelbach,2002,0.47351
064310021,Wald-Michelbach,2003,0.4513
064310021,Wald-Michelbach,2004,0.47843
064310021,Wald-Michelbach,2005,0.44926
